Model,Bus,Phase,RMSE,MAE,R2
Multi-Node CNN-Transformer,Bus 1,L1,3.810025104202394,0.6916965923114214,0.04546041004925239
Multi-Node CNN-Transformer,Bus 1,L2,3.8264056335873526,0.7445314468774289,0.03172157853821511
Multi-Node CNN-Transformer,Bus 1,L3,3.811284506994112,0.6951950058429957,0.03930623518926124
Multi-Node CNN-Transformer,Bus 2,L1,3.128628616794235,0.36889150638174767,0.08081840717530597
Multi-Node CNN-Transformer,Bus 2,L2,3.1054796308519133,0.3149989465905928,0.06926259048596473
Multi-Node CNN-Transformer,Bus 2,L3,3.105877388774142,0.32865903301006144,0.07389222033703313
