,L1,L2,L3
Bus 1,"{'RMSE': np.float64(0.014970517402341047), 'MAE': 0.0027178560941765843, 'R2': 0.0454602850470025}","{'RMSE': np.float64(0.015110844597767263), 'MAE': 0.0029402335172054677, 'R2': 0.03172148051498935}","{'RMSE': np.float64(0.015068064546071598), 'MAE': 0.0027484729834703586, 'R2': 0.03930632482448282}"
Bus 2,"{'RMSE': np.float64(0.021690700452346702), 'MAE': 0.002557513846575883, 'R2': 0.08081851277540342}","{'RMSE': np.float64(0.0216329787024292), 'MAE': 0.0021943109577428036, 'R2': 0.06926242373271874}","{'RMSE': np.float64(0.021692085138167328), 'MAE': 0.0022954205091659428, 'R2': 0.073892282037745}"
